topic,option
Misc,Distractor
Loops,A ButtonGroup is not necessary for radio buttons to be mutually exclusive
Objects & Classes,A JFrame object’s content pane does not need an explicitly added BorderLayout manager because it is automatically given one
Objects & Classes,"A Java class can have only one parent (superclass), and that parent class defines who you are"
Methods,A call to super() in your constructor puts the superclass constructor on the top of the Stack
Methods,A child class can override a final method from its parent class
Objects & Classes,"A child class contains all the members of its parent, whether those members are public, protected, or private"
Objects & Classes,A child object cannot directly access a private member inherited from a parent
Objects & Classes,"A class can only extend one other class directly, but it can indirectly extend Object through a chain of superclasses"
Objects & Classes,A class such as Employee that you create only to extend from is not a concrete class; it is an abstract class
Control Flow,"A loop with a break statement is not considered an infinite loop, even if it uses 'true' as its condition"
GUI,A mutually exclusive relationship is automatically created among all JRadioButton components in the same container
Objects & Classes,A non-public class can be subclassed only by classes in the same package
Methods,A nonstatic method can override a static method from a parent class
Methods,A private constructor means nobody can ever make a new object
Methods,A reference to the subclass object (BuzzwordReport) will always call the subclass version of an overridden method. That’s polymorphism
GUI,"A scroll pane automatically adds scroll bars to any component it contains, regardless of the component's size or content"
Methods,"A subclass can directly access all inherited data and methods, including private ones"
Methods,A subclass can hide a static method in the superclass by declaring a static method in the subclass with the same signature as the static method in the superclass
Methods,A subclass can override a static method from its superclass
Methods,A subclass can override private methods as well as public or protected ones
Methods,A subclass cannot add new methods or instance variables
Objects & Classes,A subclass cannot change the value of inherited instance variables
Methods,Abstract classes must not code any methods within them
Methods,Abstract classes usually contain at least one abstract method
GUI,Adding a component to a JScrollPane is sufficient to display the component with scroll bars in the GUI without adding the JScrollPane to another container
Interfaces,Agile software development always results in faster implementation and uses fewer resources
Methods,"All animals eat in the same way, so the eat() method does not need to be overridden"
Loops,"All animals have the same behavior for methods like makeNoise() and eat(), which should not be overridden"
Control Flow,"An abstract class has virtually no use, no value, no purpose in life, unless it is extended"
Methods,An abstract method has no body!
Methods,An abstract method means the method must be overridden
Misc,Android apps can only be developed in Java
Control Flow,Apple's macOS is directly derived from NeXTSTEP without any modifications
Data Types,"ArrayList methods can take anything because they use the Object type, which is the ultimate polymorphic type"
Methods,Assuming that static methods can be called using an object of the class
Loops,"Beginners sometimes make the mistake of invoking new inside the constructor, leading to infinite recursion"
Objects & Classes,Belief that instance variables can be accessed directly from outside the class without getters or setters
Methods,Belief that making a method final requires making the entire class final
Methods,Believing that 'super' can be used as a standalone call like a constructor
Methods,Believing that static methods in a parent class can be overridden by child classes
Control Flow,Break statements can be used freely without making the code difficult to understand or debug
Misc,Buttons in a BorderLayout do not retain their normal size; they are stretched to fill their regions
Loops,Casting the Object parameter to a BankAccount object before comparisons can be made is always safe
Misc,Check boxes and radio buttons function the same way in terms of selection behavior
GUI,Components in the east and west regions of a BorderLayout are resized vertically to fill the entire region
GUI,"Components in the east or west regions of a BorderLayout may be resized vertically, not horizontally"
GUI,Components in the north and south regions of a BorderLayout are resized horizontally to fill the entire region
GUI,"Components in the north or south regions of a BorderLayout may be resized horizontally, not vertically"
Loops,Confusing 'information hiding' with 'polymorphism' or 'data deception'
Methods,Confusion about the necessity of providing arguments when invoking overloaded constructors
Methods,Confusion about the role of the compiler and JVM in method overriding and polymorphism
Methods,Constructors must be public
Loops,Continue statements are always necessary to skip over unwanted iterations in a loop
Objects & Classes,Creating a new subclass requires revising and recompiling the superclass code
Loops,"Design patterns guarantee better-quality software with less time, money, and effort"
Exception Handling,Direct access to a parent's fields does not increase the likelihood of future errors
Objects & Classes,Each Java subclass has the ability to inherit from zero parent class(es)
Loops,Enhanced for loops can be used to access the index of an array
Control Flow,"Equal objects must always have equal hash codes, but students may mistakenly believe that unequal objects must have different hash codes"
Control Flow,"Every class you write extends Object, even if you don't explicitly declare it"
