topic,concept
Control Flow,if-else statements
Control Flow,switch statements
Control Flow,for loops
Control Flow,while loops
Control Flow,do-while loops
Control Flow,break and continue statements
Data Types,Primitive data types
Data Types,Integer vs floating-point division
Data Types,Type casting
Data Types,String handling
Object-Oriented Programming,Classes and objects
Object-Oriented Programming,Inheritance
Object-Oriented Programming,Polymorphism
Object-Oriented Programming,Encapsulation
Object-Oriented Programming,Interfaces and abstract classes
Exception Handling,Try-catch blocks
Exception Handling,Throwing exceptions
Exception Handling,Creating custom exceptions
Input/Output,Reading from and writing to files
Input/Output,Console input and output
JavaFX,JavaFX basics
JavaFX,JavaFX event handling
JavaFX,JavaFX UI components
Concurrency,Threads and Runnable interface
Concurrency,Synchronization
Concurrency,Concurrent collections
Collections,"List, Set, and Map interfaces"
Collections,Iterators
Collections,Generic collections
Lambda Expressions,Syntax and usage
Lambda Expressions,Functional interfaces
Streams,Stream API
Streams,"Filter, map, and reduce operations"
Control Flow,while vs do-while loop
Object-Oriented Programming,Classes and Objects
Exception Handling,try-catch blocks
Exception Handling,throw and throws keywords
Data Structures,Arrays
Data Structures,ArrayLists
Data Structures,LinkedLists
Concurrency,Threads
Functional Programming,Lambda expressions
Functional Programming,Streams API
Input/Output,File I/O
Input/Output,Console I/O
Java Syntax,Variable declaration and initialization
Java Syntax,Method declaration and invocation
Introduction to Java,JShell - Java's REPL (read-eval-print-loop)
Java Versions,Key new features of Java 9
Interactive Programming,JShell for experimentation and discovery
Software Engineering,Java 9 module system
Recursion,Generating fractal computer graphics
Recursion,Fibonacci series
Streams,Treating sequences as streams
Graphics,JavaFX lighting effects on 3D objects
Development Environment,Java SE Development Kit (JDK)
Version Management,Managing multiple JDK versions
Environment Setup,Setting the PATH environment variable
Environment Setup,JDK installation directory
Environment Setup,CLASSPATH environment variable
Environment Setup,Setting the JAVA_HOME environment variable
Software Installation,Installing JDK on Windows and macOS
Software Installation,Installing JDK on Linux using tar.gz archive
Version Control,Understanding JDK version numbering prior to Java 9
Version Control,Understanding new JDK version numbering from Java 9 onwards
Environment Configuration,Managing PATH environment variable on Windows for JDK
Environment Configuration,Temporary PATH setting for Command Prompt on Windows
Environment Configuration,Determining installed JDKs on macOS using Terminal
Introduction to Computing,"Computer hardware, software and networking basics"
Introduction to Computing,Data hierarchy
Programming Languages,"Machine Languages, Assembly Languages and High-Level Languages"
Object-Oriented Programming,Object Technology
Object-Oriented Programming,Methods and Classes
Object-Oriented Programming,Instantiation
Object-Oriented Programming,Reuse
Object-Oriented Programming,Messages and Method Calls
Object-Oriented Programming,Attributes and Instance Variables
Object-Oriented Programming,Encapsulation and Information Hiding
Object-Oriented Programming,Interfaces
Object-Oriented Programming,Object-Oriented Analysis and Design (OOAD)
Object-Oriented Programming,Unified Modeling Language (UML)
Operating Systems,Windows—A Proprietary Operating System
Operating Systems,Linux—An Open-Source Operating System
Operating Systems,Apple’s macOS and iOS
Operating Systems,Google’s Android
Programming Languages,Java
